name,state,country,description,imageUrl,latitude,longitude
Delhi,India,India,Delhi is a popular travel destination in India.,delhi.jpg,0,0
Mumbai,India,India,Mumbai is a popular travel destination in India.,mumbai.jpg,0,0
Lonavala,India,India,Lonavala is a popular travel destination in India.,lonavala.jpg,0,0
Bangalore,India,India,Bangalore is a popular travel destination in India.,bangalore.jpg,0,0
Hyderabad,India,India,Hyderabad is a popular travel destination in India.,hyderabad.jpg,0,0
Kolkata,India,India,Kolkata is a popular travel destination in India.,kolkata.jpg,0,0
Goa,India,India,Goa is a popular travel destination in India.,goa.jpg,0,0
Ahmedabad,India,India,Ahmedabad is a popular travel destination in India.,ahmedabad.jpg,0,0
Dwarka,India,India,Dwarka is a popular travel destination in India.,dwarka.jpg,0,0
Junagadh,India,India,Junagadh is a popular travel destination in India.,junagadh.jpg,0,0
Bhuj,India,India,Bhuj is a popular travel destination in India.,bhuj.jpg,0,0
Vadodara,India,India,Vadodara is a popular travel destination in India.,vadodara.jpg,0,0
Somnath,India,India,Somnath is a popular travel destination in India.,somnath.jpg,0,0
Rann of Kutch,India,India,Rann of Kutch is a popular travel destination in India.,rann_of_kutch.jpg,0,0
Kevadia,India,India,Kevadia is a popular travel destination in India.,kevadia.jpg,0,0
Gandhinagar,India,India,Gandhinagar is a popular travel destination in India.,gandhinagar.jpg,0,0
Jaipur,India,India,Jaipur is a popular travel destination in India.,jaipur.jpg,0,0
Udaipur,India,India,Udaipur is a popular travel destination in India.,udaipur.jpg,0,0
Jaisalmer,India,India,Jaisalmer is a popular travel destination in India.,jaisalmer.jpg,0,0
Sawai Madhopur,India,India,Sawai Madhopur is a popular travel destination in India.,sawai_madhopur.jpg,0,0
Pushkar,India,India,Pushkar is a popular travel destination in India.,pushkar.jpg,0,0
Ajmer,India,India,Ajmer is a popular travel destination in India.,ajmer.jpg,0,0
Jodhpur,India,India,Jodhpur is a popular travel destination in India.,jodhpur.jpg,0,0
Chittorgarh,India,India,Chittorgarh is a popular travel destination in India.,chittorgarh.jpg,0,0
Mount Abu,India,India,Mount Abu is a popular travel destination in India.,mount_abu.jpg,0,0
Bikaner,India,India,Bikaner is a popular travel destination in India.,bikaner.jpg,0,0
Amritsar,India,India,Amritsar is a popular travel destination in India.,amritsar.jpg,0,0
Chandigarh,India,India,Chandigarh is a popular travel destination in India.,chandigarh.jpg,0,0
Alappuzha,India,India,Alappuzha is a popular travel destination in India.,alappuzha.jpg,0,0
Munnar,India,India,Munnar is a popular travel destination in India.,munnar.jpg,0,0
Kochi,India,India,Kochi is a popular travel destination in India.,kochi.jpg,0,0
Thiruvananthapuram,India,India,Thiruvananthapuram is a popular travel destination in India.,thiruvananthapuram.jpg,0,0
Kozhikode,India,India,Kozhikode is a popular travel destination in India.,kozhikode.jpg,0,0
Wayanad,India,India,Wayanad is a popular travel destination in India.,wayanad.jpg,0,0
Thekkady,India,India,Thekkady is a popular travel destination in India.,thekkady.jpg,0,0
Kumarakom,India,India,Kumarakom is a popular travel destination in India.,kumarakom.jpg,0,0
Varkala,India,India,Varkala is a popular travel destination in India.,varkala.jpg,0,0
Bekal,India,India,Bekal is a popular travel destination in India.,bekal.jpg,0,0
Kovalam,India,India,Kovalam is a popular travel destination in India.,kovalam.jpg,0,0
Kannur,India,India,Kannur is a popular travel destination in India.,kannur.jpg,0,0
Nelliyampathy,India,India,Nelliyampathy is a popular travel destination in India.,nelliyampathy.jpg,0,0
Mysore,India,India,Mysore is a popular travel destination in India.,mysore.jpg,0,0
Hampi,India,India,Hampi is a popular travel destination in India.,hampi.jpg,0,0
Coorg,India,India,Coorg is a popular travel destination in India.,coorg.jpg,0,0
Gokarna,India,India,Gokarna is a popular travel destination in India.,gokarna.jpg,0,0
Chikmagalur,India,India,Chikmagalur is a popular travel destination in India.,chikmagalur.jpg,0,0
Badami,India,India,Badami is a popular travel destination in India.,badami.jpg,0,0
Shivamogga,India,India,Shivamogga is a popular travel destination in India.,shivamogga.jpg,0,0
Mangalore,India,India,Mangalore is a popular travel destination in India.,mangalore.jpg,0,0
Murudeshwar,India,India,Murudeshwar is a popular travel destination in India.,murudeshwar.jpg,0,0
Bijapur,India,India,Bijapur is a popular travel destination in India.,bijapur.jpg,0,0
Bandipur,India,India,Bandipur is a popular travel destination in India.,bandipur.jpg,0,0
Halebidu,India,India,Halebidu is a popular travel destination in India.,halebidu.jpg,0,0
Pune,India,India,Pune is a popular travel destination in India.,pune.jpg,0,0
Aurangabad,India,India,Aurangabad is a popular travel destination in India.,aurangabad.jpg,0,0
Nashik,India,India,Nashik is a popular travel destination in India.,nashik.jpg,0,0
Shirdi,India,India,Shirdi is a popular travel destination in India.,shirdi.jpg,0,0
Alibaug,India,India,Alibaug is a popular travel destination in India.,alibaug.jpg,0,0
Ratnagiri,India,India,Ratnagiri is a popular travel destination in India.,ratnagiri.jpg,0,0
Nagpur,India,India,Nagpur is a popular travel destination in India.,nagpur.jpg,0,0
Kolhapur,India,India,Kolhapur is a popular travel destination in India.,kolhapur.jpg,0,0
Tarkarli,India,India,Tarkarli is a popular travel destination in India.,tarkarli.jpg,0,0
Satara,India,India,Satara is a popular travel destination in India.,satara.jpg,0,0
Matheran,India,India,Matheran is a popular travel destination in India.,matheran.jpg,0,0
Ajanta,India,India,Ajanta is a popular travel destination in India.,ajanta.jpg,0,0
Khajuraho,India,India,Khajuraho is a popular travel destination in India.,khajuraho.jpg,0,0
Bhopal,India,India,Bhopal is a popular travel destination in India.,bhopal.jpg,0,0
