name,description,type,rating,imageUrl,latitude,longitude,destinationName
India Gate,"India Gate is a popular War Memorial located in Delhi, known for its Historical significance.",ATTRACTION,4.6,india_gate.jpg,0,0,Delhi
Humayun's Tomb,"Humayun's Tomb is a popular Tomb located in Delhi, known for its Historical significance.",ATTRACTION,4.5,humayun's_tomb.jpg,0,0,Delhi
Akshardham Temple,"Akshardham Temple is a popular Temple located in Delhi, known for its Religious significance.",ATTRACTION,4.6,akshardham_temple.jpg,0,0,Delhi
Waste to Wonder Park,"Waste to Wonder Park is a popular Theme Park located in Delhi, known for its Environmental significance.",ATTRACTION,4.1,waste_to_wonder_park.jpg,0,0,Delhi
Jantar Mantar,"Jantar Mantar is a popular Observatory located in Delhi, known for its Scientific significance.",ATTRACTION,4.2,jantar_mantar.jpg,0,0,Delhi
Chandni Chowk,"Chandni Chowk is a popular Market located in Delhi, known for its Market significance.",ATTRACTION,4.2,chandni_chowk.jpg,0,0,Delhi
Lotus Temple,"Lotus Temple is a popular Temple located in Delhi, known for its Religious significance.",ATTRACTION,4.5,lotus_temple.jpg,0,0,Delhi
Red Fort,"Red Fort is a popular Fort located in Delhi, known for its Historical significance.",ATTRACTION,4.5,red_fort.jpg,0,0,Delhi
Agrasen ki Baoli,"Agrasen ki Baoli is a popular Stepwell located in Delhi, known for its Historical significance.",ATTRACTION,4.2,agrasen_ki_baoli.jpg,0,0,Delhi
Sunder Nursery,"Sunder Nursery is a popular Park located in Delhi, known for its Botanical significance.",ATTRACTION,4.6,sunder_nursery.jpg,0,0,Delhi
Garden of Five Senses,"Garden of Five Senses is a popular Park located in Delhi, known for its Botanical significance.",ATTRACTION,4.1,garden_of_five_senses.jpg,0,0,Delhi
Lodhi Garden,"Lodhi Garden is a popular Park located in Delhi, known for its Botanical significance.",ATTRACTION,4.5,lodhi_garden.jpg,0,0,Delhi
National Gallery of Modern Art,"National Gallery of Modern Art is a popular Museum located in Delhi, known for its Artistic significance.",ATTRACTION,4.5,national_gallery_of_modern_art.jpg,0,0,Delhi
National Zoological Park ,"National Zoological Park  is a popular Zoo located in Delhi, known for its Environmental significance.",ATTRACTION,4.1,national_zoological_park_.jpg,0,0,Delhi
Qutub Minar,"Qutub Minar is a popular Monument located in Delhi, known for its Historical significance.",ATTRACTION,4.5,qutub_minar.jpg,0,0,Delhi
National Science Centre,"National Science Centre is a popular Science located in Delhi, known for its Scientific significance.",ATTRACTION,4.4,national_science_centre.jpg,0,0,Delhi
Marine Drive,"Marine Drive is a popular Promenade located in Mumbai, known for its Scenic significance.",ATTRACTION,4.5,marine_drive.jpg,0,0,Mumbai
Gateway of India,"Gateway of India is a popular Monument located in Mumbai, known for its Historical significance.",ATTRACTION,4.6,gateway_of_india.jpg,0,0,Mumbai
Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,"Chhatrapati Shivaji Maharaj Vastu Sangrahalaya is a popular Museum located in Mumbai, known for its Historical significance.",ATTRACTION,4.6,chhatrapati_shivaji_maharaj_vastu_sangrahalaya.jpg,0,0,Mumbai
Sanjay Gandhi National Park,"Sanjay Gandhi National Park is a popular National Park located in Mumbai, known for its Wildlife significance.",ATTRACTION,4.3,sanjay_gandhi_national_park.jpg,0,0,Mumbai
Siddhivinayak Temple,"Siddhivinayak Temple is a popular Temple located in Mumbai, known for its Religious significance.",ATTRACTION,4.8,siddhivinayak_temple.jpg,0,0,Mumbai
Mahalaxmi Temple,"Mahalaxmi Temple is a popular Temple located in Mumbai, known for its Religious significance.",ATTRACTION,4.7,mahalaxmi_temple.jpg,0,0,Mumbai
Haji Ali Dargah,"Haji Ali Dargah is a popular Religious Shrine located in Mumbai, known for its Religious significance.",ATTRACTION,4.4,haji_ali_dargah.jpg,0,0,Mumbai
Chowpatty Beach,"Chowpatty Beach is a popular Beach located in Mumbai, known for its Recreational significance.",ATTRACTION,4.3,chowpatty_beach.jpg,0,0,Mumbai
Essel World,"Essel World is a popular Amusement Park located in Mumbai, known for its Recreational significance.",ATTRACTION,4.3,essel_world.jpg,0,0,Mumbai
Elephanta Caves,"Elephanta Caves is a popular Monument located in Mumbai, known for its Historical significance.",ATTRACTION,4.3,elephanta_caves.jpg,0,0,Mumbai
